iter	Passed	Remaining
0	197	58980
1	350	51976
2	474	46859
3	631	46538
4	762	44811
5	906	44256
6	1047	43692
7	1194	43448
8	1332	42950
9	1454	42026
10	1568	41071
11	1693	40507
12	1832	40323
13	1983	40379
14	2138	40486
15	2248	39770
16	2387	39604
17	2533	39543
18	2671	39367
19	2799	39051
20	2937	38891
21	3083	38819
22	3228	38742
23	3342	38299
24	3455	37873
25	3564	37425
26	3674	37021
27	3809	36868
28	3934	36631
29	4055	36359
30	4170	36058
31	4285	35757
32	4390	35386
33	4527	35286
34	4684	35332
35	4809	35134
36	4931	34917
37	5077	34877
38	5234	34899
39	5398	34956
40	5539	34856
41	5671	34705
42	5799	34524
43	5934	34393
44	6070	34264
45	6207	34142
46	6340	33997
47	6471	33841
48	6593	33639
49	6722	33476
50	6851	33318
51	6973	33124
52	7099	32951
53	7242	32857
54	7373	32712
55	7497	32534
56	7625	32375
57	7762	32255
58	7872	32022
59	7990	31828
60	8098	31598
61	8232	31468
62	8355	31298
63	8479	31136
64	8586	30912
65	8733	30830
66	8888	30779
67	9026	30662
68	9153	30511
69	9264	30307
70	9363	30067
71	9461	29831
72	9570	29630
73	9689	29461
74	9796	29258
75	9918	29104
76	10042	28954
77	10174	28828
78	10309	28709
79	10444	28591
80	10559	28420
81	10694	28301
82	10839	28209
83	10999	28154
84	11128	28018
85	11293	27972
86	11455	27914
87	11606	27828
88	11784	27805
89	11968	27794
90	12141	27751
91	12283	27636
92	12461	27602
93	12661	27612
94	12813	27514
95	12981	27449
96	13132	27347
97	13288	27255
98	13459	27191
99	13633	27130
100	13784	27023
101	13933	26911
102	14115	26859
103	14255	26729
104	14407	26619
105	14565	26519
106	14722	26417
107	14875	26306
108	15035	26208
109	15187	26095
110	15334	25972
111	15482	25850
112	15650	25761
113	15807	25652
114	15955	25529
115	16114	25421
116	16267	25304
117	16422	25190
118	16553	25038
119	16703	24916
120	16844	24779
121	16983	24640
122	17127	24507
123	17270	24374
124	17418	24246
125	17561	24112
126	17685	23951
127	17816	23801
128	17945	23648
129	18065	23485
130	18200	23340
131	18319	23176
132	18429	23002
133	18555	22847
134	18660	22669
135	18779	22507
136	18903	22352
137	19015	22184
138	19118	22007
139	19231	21841
140	19360	21694
141	19466	21522
142	19600	21382
143	19730	21237
144	19877	21111
145	20017	20976
146	20126	20810
147	20241	20651
148	20351	20487
149	20473	20337
150	20603	20193
151	20723	20042
152	20833	19880
153	20971	19746
154	21094	19597
155	21261	19489
156	21386	19342
157	21486	19174
158	21613	19030
159	21714	18864
160	21836	18716
161	21967	18577
162	22088	18429
163	22216	18288
164	22340	18142
165	22470	18003
